country,location_name,latitude,longitude,YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS10M,WS50M,WD10M,RH2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN
India,Mumbai,19.07,72.87,2025,8,9,21,25.17,0.36,1.08,1.59,251.6,91.7,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,22,25.1,0.69,0.98,1.42,225.8,90.99,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,23,24.76,2,1.16,1.75,208.8,92.62,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,0,24.43,1.81,1.31,2.01,206.4,93.98,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,1,24.19,0.33,1.38,2.16,214.4,94.74,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,2,24.03,0.56,1.41,2.23,225,95.08,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,3,24.01,1.38,1.39,2.19,229.7,95.05,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,4,24.28,2.28,1.16,1.79,226.4,94.08,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,5,24.55,3.8,1.05,1.64,220.4,92.92,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,6,24.79,2.97,1.03,1.73,215.5,93.71,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,7,25.54,3.12,1.57,1.89,212,88.06,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,8,26.14,4.11,1.86,2.08,218.2,85.66,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,9,26.89,3.81,2.09,2.34,227.3,82.74,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,10,27.54,6.81,2.47,2.72,233.7,80.38,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,11,27.74,12.4,2.95,3.23,238.6,79.87,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,12,27.86,14.99,3.48,3.8,240.2,79.75,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,13,27.69,23.76,3.87,4.28,244,80.11,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,14,27.39,26.93,4.09,4.59,248.2,80.97,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,15,27.27,17.92,4.01,4.5,250.6,81.52,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,10,16,26.9,7.92,3.69,4.23,251.4,82.64,-999,-999,-999
